Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Name_Length,Is_Sequel,Console_Maker,Competition_Index,Publisher_Experience,Hit_Target,Critic_Score,User_Score,Total_Rating_Count,IGDB_Genres
5541,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,DS,2007,Misc,Rocket Company,0,0,0.33,0,0.33,91,1,Nintendo,2687,2.397895273,1,0,0,0,
5542,Untold Legends: The Warriors Code,PSP,2006,Role-Playing,Ubisoft,0.14,0.12,0,0.08,0.33,33,1,Sony,2257,6.098074282,1,60,60,1,Role-playing (RPG)|Hack and slash/Beat 'em up
5543,Bleach: Shattered Blade,Wii,2006,Fighting,Sega,0.22,0.01,0.08,0.02,0.33,23,1,Nintendo,2257,5.934894196,1,59.33333333,57.44941363,13,Fighting
5544,Naruto: Gekitou Ninja Taisen! 4,GC,2005,Fighting,Tomy Corporation,0,0,0.32,0.01,0.33,31,1,Nintendo,1927,3.36729583,1,0,70.00093572,5,Fighting
5545,Valkyria Chronicles Remastered,PS4,2016,Role-Playing,Sega,0.14,0.08,0.08,0.04,0.33,30,0,Sony,1435,7.087573706,1,0,0,0,Role-playing (RPG)|Turn-based strategy (TBS)|Tactical|Adventure
5546,Disgaea: Hour of Darkness,PS2,2003,Role-Playing,Tecmo Koei,0.16,0.13,0,0.04,0.33,25,1,Sony,1819,3.36729583,1,90,87.42285744,33,Role-playing (RPG)|Strategy|Tactical
5547,Power Rangers: Ninja Storm,GBA,2003,Misc,THQ,0.24,0.09,0,0.01,0.33,26,1,Nintendo,1819,5.327876169,1,0,0,0,Arcade
5548,Resonance of Fate,X360,2010,Role-Playing,Sega,0.12,0.13,0.06,0.03,0.33,17,0,Microsoft,3712,6.72982407,1,76.66666667,73.35998412,18,Role-playing (RPG)
5549,EA Playground,DS,2007,Sports,Electronic Arts,0.29,0.01,0,0.03,0.33,13,0,Nintendo,2687,6.608000625,1,0,0,0,Sport
5550,Transformers: Revenge of the Fallen (DS Versions),DS,2009,Action,Activision,0.17,0.13,0,0.03,0.33,49,1,Nintendo,4489,6.637258031,1,0,0,0,Shooter|Adventure
5551,Marvel: Ultimate Alliance 2,Wii,2009,Role-Playing,Activision,0.26,0.05,0,0.03,0.33,27,1,Nintendo,4489,6.638567789,1,67.5,70.91753511,89,Role-playing (RPG)|Hack and slash/Beat 'em up|Adventure
5552,SSX Blur,Wii,2007,Sports,Electronic Arts,0.29,0.01,0,0.03,0.33,8,0,Nintendo,2687,6.609349243,1,75,63.17846341,8,Racing|Sport
5553,Hulk,XB,2003,Action,Universal Interactive,0.25,0.07,0,0.01,0.33,4,0,Microsoft,1819,3.091042453,1,55.8,60.61609801,43,Adventure
5554,Spy Kids 3-D: Game Over,GBA,2003,Platform,Disney Interactive Studios,0.24,0.09,0,0.01,0.33,23,1,Nintendo,1819,2.833213344,1,0,0,0,
5555,Deus Ex: Invisible War,XB,2003,Shooter,Eidos Interactive,0.25,0.07,0,0.01,0.33,22,1,Microsoft,1819,4.553876892,1,80,71.27787126,111,Shooter|Role-playing (RPG)
5556,Transformers: Revenge of the Fallen -- Decepticons,DS,2009,Action,Activision,0.17,0.13,0,0.03,0.33,50,1,Nintendo,4489,6.639875834,1,0,0,0,
5557,DiRT 2,PSP,2009,Racing,Sony Computer Entertainment,0.09,0.16,0,0.09,0.33,6,1,Sony,4489,6.514712691,1,0,0,0,
5558,Planet Puzzle League,DS,2007,Puzzle,Nintendo,0.14,0.01,0.16,0.01,0.33,20,0,Nintendo,2687,6.06610809,1,80,76.5,4,Puzzle
5559,Naruto: Gekito Ninja Taisen! 4,GC,2005,Fighting,Tomy Corporation,0,0,0.32,0.01,0.33,30,1,Nintendo,1927,3.33220451,1,0,0,0,
5560,Eternal Sonata,X360,2007,Role-Playing,Atari,0.19,0.04,0.08,0.02,0.33,14,0,Microsoft,2687,5.831882477,1,75,74.8373299,42,Role-playing (RPG)
5561,Cool Boarders 2001,PS2,2001,Sports,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33,18,1,Sony,1537,4.304065093,1,0,0,0,Sport
5562,Rugby World Cup 2011,PS3,2011,Sports,505 Games,0,0.25,0,0.08,0.33,20,1,Sony,3488,5.429345629,1,60,60,1,Simulator|Sport
5563,FIFA Street 3,PS3,2008,Sports,Electronic Arts,0.08,0.18,0,0.06,0.33,13,1,Sony,3121,6.797940413,1,0,0,0,Sport
5564,Etrian Odyssey III: The Drowned City,DS,2010,Role-Playing,Atlus,0.13,0,0.19,0.01,0.33,36,1,Nintendo,3712,5.056245805,1,80,85,5,Role-playing (RPG)|Adventure
5565,Pinball Hall of Fame: The Gottlieb Collection,PS2,2004,Misc,Play It,0.16,0.12,0,0.04,0.33,45,1,Sony,1689,1.945910149,1,70,64,2,Pinball
5566,The Darkness II,PS3,2012,Shooter,Take-Two Interactive,0.14,0.14,0,0.05,0.33,15,0,Sony,1737,5.908082938,1,76.63636364,76.74953377,242,Shooter
5567,SpongeBob SquarePants: Creature from the Krusty Krab,GC,2006,Platform,THQ,0.25,0.07,0,0.01,0.33,52,1,Nintendo,2257,6.124683391,1,0,0,0,
5568,Teen Titans,GC,2006,Action,THQ,0.25,0.07,0,0.01,0.33,11,0,Nintendo,2257,6.126869184,1,0,0,0,Hack and slash/Beat 'em up|Adventure
5569,LEGO The Lord of the Rings,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.1,0.15,0,0.07,0.33,26,0,Sony,1737,4.905274778,1,0,0,0,Adventure
5570,Angry Birds Star Wars,PS3,2013,Strategy,Activision,0.1,0.17,0,0.06,0.33,21,0,Sony,1893,7.071573364,1,0,0,0,Puzzle
5571,Spongebob Squarepants: Creature from the Krusty Krab,GC,2006,Platform,THQ,0.25,0.07,0,0.01,0.33,52,1,Nintendo,2257,6.12905021,1,0,0,0,
5572,Shin Megami Tensei: Devil Summoner: Soul Hackers,3DS,2013,Role-Playing,Atlus,0.14,0.03,0.14,0.02,0.33,48,1,Nintendo,1893,5.38907173,1,0,0,0,Role-playing (RPG)|Adventure
5573,Fracture,X360,2008,Shooter,LucasArts,0.15,0.14,0,0.04,0.33,8,0,Microsoft,3121,4.65396035,1,66.66666667,65.64662735,16,Shooter
5574,F1 2013,X360,2013,Racing,Codemasters,0.01,0.28,0,0.03,0.33,7,1,Microsoft,1893,5.407171771,1,78.8,77.69782647,38,Racing|Simulator|Sport|Strategy
5575,Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,0.13,0.15,0,0.05,0.33,18,0,Sony,1689,5.402677382,1,47,45.69817457,10,Puzzle
5576,Hell's Kitchen: The Game,Wii,2008,Simulation,Ubisoft,0.3,0,0,0.03,0.33,24,1,Nintendo,3121,6.595780514,1,55,55,2,Simulator
5577,Karaoke Revolution Presents American Idol Encore 2,Wii,2008,Misc,Konami Digital Entertainment,0.3,0,0,0.02,0.33,50,1,Nintendo,3121,5.983936281,1,0,70,2,Music
5578,MySims SkyHeroes,DS,2010,Action,Electronic Arts,0.22,0.08,0,0.03,0.33,16,0,Nintendo,3712,7.143617603,1,0,0,0,Shooter|Racing|Adventure
5579,Dead Space 2,PC,2011,Shooter,Electronic Arts,0.13,0.15,0,0.05,0.33,12,1,PC,3488,7.272398393,1,90,88.24461119,995,Shooter|Adventure
5580,Clock Tower 3,PS2,2002,Adventure,Capcom,0.1,0.08,0.12,0.03,0.33,13,1,Sony,1831,4.510859507,1,60,51.16012183,27,Adventure
5581,Sengoku Musou 3 Z,PS3,2011,Action,Ackkstudios,0,0,0.33,0,0.33,17,0,Sony,3488,1.098612289,1,0,0,0,
5582,Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2008,Action,KOEI,0,0,0.33,0,0.33,45,1,Sony,3121,4.574710979,1,60,65.76190476,7,Hack and slash/Beat 'em up|Adventure
5583,Elebits,Wii,2006,Action,Konami Digital Entertainment,0.22,0.01,0.08,0.02,0.33,7,0,Nintendo,2257,5.564520407,1,66.33333333,64.91772713,10,Shooter|Puzzle
5584,Binary Domain,PS3,2012,Action,Sega,0.09,0.08,0.14,0.03,0.33,13,0,Sony,1737,6.951772164,1,72.33333333,75.04126263,106,Shooter|Puzzle
5585,Classic NES Series: Castlevania,GBA,2004,Platform,Nintendo,0.17,0.06,0.09,0.01,0.33,31,1,Nintendo,1689,5.293304825,1,0,0,0,Platform|Hack and slash/Beat 'em up
5586,Disney's Treasure Planet,PS2,2002,Action,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33,24,0,Sony,1831,4.736198448,1,0,0,0,Platform|Adventure
5587,"Carnival Games: Monkey See, Monkey Do!",X360,2011,Misc,Take-Two Interactive,0.14,0.16,0,0.03,0.33,38,1,Microsoft,3488,5.80814249,1,0,70,0,Simulator|Arcade
5588,Samurai Warriors 3Z,PS3,2011,Action,Tecmo Koei,0,0,0.33,0,0.33,19,0,Sony,3488,5.327876169,1,0,0,0,
5589,Little Deviants,PSV,2011,Platform,Sony Computer Entertainment,0.15,0.13,0,0.05,0.33,15,0,Sony,3488,6.936342736,1,70,65.04671096,8,Shooter|Arcade
5590,Hatsune Miku: Project Diva Extend,PSP,2011,Misc,Sega,0,0,0.33,0,0.33,33,1,Sony,3488,6.855408799,1,0,77.37798483,15,Music
5591,The Black Eyed Peas Experience,X360,2011,Misc,Ubisoft,0.2,0.1,0,0.03,0.33,30,0,Microsoft,3488,7.057036982,1,65,70,3,Music
5592,MLB 08: The Show,PSP,2008,Sports,Sony Computer Entertainment,0.3,0,0,0.02,0.33,16,1,Sony,3121,6.304448802,1,83,83,4,Sport
5593,NCAA Basketball 10,PS3,2009,Sports,Electronic Arts,0.31,0,0,0.03,0.33,18,1,Sony,4489,6.961296046,1,77,78.5,6,Sport
5594,The King of Fighters XIII,X360,2011,Fighting,Rising Star Games,0.23,0.07,0.01,0.03,0.33,25,0,Microsoft,3488,4.262679877,1,79,79.07223957,49,Fighting|Arcade
5595,Minute to win it,X360,2011,Misc,Zoo Games,0.3,0,0,0.03,0.33,16,0,Microsoft,3488,3.871201011,1,30,50,3,Arcade
5596,Goosebumps HorrorLand,DS,2008,Adventure,Scholastic Inc.,0.31,0,0,0.02,0.33,21,0,Nintendo,3121,1.945910149,1,0,0,0,Puzzle|Strategy
5597,The X-Factor,Wii,2010,Misc,Deep Silver,0,0.29,0,0.04,0.33,12,0,Nintendo,3712,4.234106505,1,0,0,0,
5598,Pandora's Tower,Wii,2011,Role-Playing,Nintendo,0.13,0.1,0.08,0.03,0.33,15,0,Nintendo,3488,6.777646594,1,72.57142857,71.40667025,26,Role-playing (RPG)|Adventure
5599,Family Party: 90 Great Games Party Pack,Wii,2010,Misc,D3Publisher,0.31,0,0,0.02,0.33,39,1,Nintendo,3712,4.584967479,1,0,0,0,
5600,Despicable Me: The Game,Wii,2010,Platform,D3Publisher,0.19,0.12,0,0.03,0.33,23,1,Nintendo,3712,4.574710979,1,43,43,2,Platform|Adventure
5601,Dr. Mario / Puzzle League,GBA,2005,Puzzle,Nintendo,0.12,0.04,0.16,0.01,0.33,25,0,Nintendo,1927,5.616771098,1,70,70,1,Puzzle
5602,Golden Axe: Beast Rider,X360,2008,Action,Sega,0.19,0.11,0,0.03,0.33,23,1,Microsoft,3121,6.429719478,1,40,55,7,Hack and slash/Beat 'em up
5603,Medal of Honor: Warfighter,PC,2012,Action,Electronic Arts,0.14,0.15,0,0.04,0.33,26,1,PC,1737,7.364547014,1,48.88888889,55.46378436,158,Shooter
5604,Silent Hill: Downpour,X360,2012,Action,Konami Digital Entertainment,0.22,0.08,0,0.03,0.33,21,1,Microsoft,1737,6.456769656,1,69.875,69.77259867,88,Adventure
5605,Cabela's Dangerous Hunts 2011,PS3,2010,Sports,Activision,0.26,0.04,0,0.03,0.33,29,1,Sony,3712,6.814542897,1,0,75,2,Shooter|Simulator|Sport
5606,Tak 2: The Staff of Dreams,GC,2004,Platform,THQ,0.26,0.07,0,0.01,0.33,26,1,Nintendo,1689,5.683579767,1,0,0,0,
5607,Dragon Ball Z: Battle of Z,PS3,2014,Fighting,Namco Bandai Games,0.1,0.11,0.06,0.05,0.33,26,1,Sony,3043,6.618738984,1,56.625,58.1378431,31,Fighting
5608,Sniper Elite III,X360,2014,Shooter,505 Games,0.18,0.12,0,0.03,0.33,16,0,Microsoft,3043,5.655991811,1,67.91666667,69.45792411,195,Shooter|Simulator|Tactical|Adventure
5609,Legends of Wrestling II,PS2,2002,Fighting,Acclaim Entertainment,0.16,0.13,0,0.04,0.33,23,0,Sony,1831,4.442651256,1,0,0,0,Fighting|Sport
5610,Discovery Kids: Puppy Playtime,DS,2009,Simulation,505 Games,0.3,0,0,0.02,0.33,30,1,Nintendo,4489,5.023880521,1,0,0,0,Simulator
5611,Scooby-Doo! First Frights,PS2,2009,Action,Warner Bros. Interactive Entertainment,0.14,0.03,0,0.16,0.33,25,0,Sony,4489,3.63758616,1,0,0,0,
5612,1001 Touch Games,DS,2011,Action,Avanquest,0.12,0.17,0,0.04,0.33,16,0,Nintendo,3488,2.995732274,1,0,0,0,Arcade|Card & Board Game
5613,Fate/Extra,PSP,2011,Role-Playing,Aksys Games,0.19,0.01,0.1,0.03,0.33,10,0,Sony,3488,3.912023005,1,0,0,0,
5614,Madden NFL 09,DS,2008,Sports,Electronic Arts,0.3,0,0,0.03,0.33,13,1,Nintendo,3121,6.796823718,1,76.375,77.50317502,19,Simulator|Sport
5615,GT Advance Championship Racing,GBA,2001,Racing,THQ,0.24,0.09,0,0.01,0.33,30,0,Nintendo,1537,4.043051268,1,70,70,1,Racing
5616,Sonic Boom: Rise of Lyric,WiiU,2014,Action,Sega,0.21,0.09,0,0.03,0.33,25,1,Nintendo,3043,7.033506484,1,37.5,26.97207709,36,Platform|Adventure
5617,Ninja Blade,X360,2009,Action,Microsoft Game Studios,0.14,0.14,0.02,0.03,0.33,11,0,Microsoft,4489,5.18178355,1,58,63.86279989,42,Hack and slash/Beat 'em up
5618,Shrek SuperSlam,GBA,2005,Action,Activision,0.24,0.09,0,0.01,0.33,15,0,Nintendo,1927,5.783825182,1,0,0,0,Fighting
5619,Call of Duty 2: Big Red One,GC,2005,Shooter,Activision,0.25,0.07,0,0.01,0.33,27,1,Nintendo,1927,5.780743516,1,79.75,77.42416556,68,Shooter
5620,Vin Diesel: Wheelman,PS3,2009,Racing,Ubisoft,0.12,0.15,0,0.06,0.33,20,1,Sony,4489,6.756932389,1,0,0,0,
5621,God of War Collection,PSV,2014,Action,Sony Computer Entertainment,0.14,0.1,0.01,0.07,0.33,21,0,Sony,3043,7.106606138,1,80.33333333,84.03070407,48,Hack and slash/Beat 'em up|Adventure
5622,Major League Baseball 2K6,XB,2006,Sports,Take-Two Interactive,0.24,0.07,0,0.01,0.33,25,0,Microsoft,2257,4.812184355,1,0,0,0,Sport
5623,Klonoa 2: Lunatea's Veil,PS2,2001,Platform,Sony Computer Entertainment,0.12,0.1,0.08,0.03,0.33,24,1,Sony,1537,4.290459441,1,0,77.53808659,27,Platform|Sport|Adventure
5624,Chicken Blaster,Wii,2009,Shooter,Zushi Games,0.31,0,0,0.02,0.33,15,0,Nintendo,4489,1.791759469,1,0,0,0,Shooter
5625,Night at the Museum: Battle of the Smithsonian,Wii,2009,Action,Majesco Entertainment,0.17,0.13,0,0.03,0.33,46,1,Nintendo,4489,3.951243719,1,40,57.5,4,Adventure
5626,Phineas and Ferb: Across the 2nd Dimension,PS3,2011,Action,Disney Interactive Studios,0.15,0.12,0,0.05,0.33,42,1,Sony,3488,5.480638923,1,0,0,0,
5627,DECA Sports Freedom,X360,2010,Sports,Hudson Soft,0.27,0.04,0,0.02,0.33,19,0,Microsoft,3712,5.267858159,1,15,42.5,5,Shooter|Sport
5628,Call Of Duty 2: Big Red One,GC,2005,Shooter,Activision,0.25,0.07,0,0.01,0.33,27,1,Nintendo,1927,5.786897381,1,79.75,77.42416556,68,Shooter
5629,Battlestations: Pacific,X360,2009,Strategy,Eidos Interactive,0.17,0.12,0.01,0.03,0.33,23,1,Microsoft,4489,5.686975356,1,70,75.23520706,13,Real Time Strategy (RTS)|Simulator|Strategy|Tactical
5630,Kelly Slater's Pro Surfer,PS2,2002,Sports,Activision,0.16,0.13,0,0.04,0.33,25,0,Sony,1831,4.762173935,1,0,0,0,Sport
5631,Ultimate Marvel vs. Capcom 3,PSV,2011,Fighting,Capcom,0.2,0.09,0,0.05,0.33,28,1,Sony,3488,6.244166901,1,76.70588235,76.58084552,135,Fighting
5632,Batman: Arkham Origins,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.2,0.09,0,0.03,0.33,22,1,Nintendo,1893,5.153291594,1,0,66.19868911,16,Fighting
5633,Sakura Wars 3: Paris wa Moeteiru ka,DC,2001,Adventure,Sega,0,0,0.33,0,0.33,35,1,Sega,1537,4.276666119,1,0,0,0,
5634,Wipeout 2,Wii,2011,Misc,Activision,0.31,0,0,0.02,0.33,9,1,Nintendo,3488,6.907755279,1,10,42.5,3,Platform
5635,Fight Night Round 3,XB,2006,Fighting,Electronic Arts,0.26,0.06,0,0.01,0.33,19,1,Microsoft,2257,6.410174882,1,84,73.88439212,34,Fighting|Sport
5636,Operation Flashpoint: Red River,PS3,2011,Shooter,Codemasters,0.06,0.15,0.07,0.05,0.33,31,1,Sony,3488,5.252273428,1,65.25,67.26608304,26,Shooter|Simulator|Strategy
5637,Sniper Elite 3,XOne,2014,Shooter,505 Games,0.19,0.11,0,0.03,0.33,14,1,Microsoft,3043,5.65248918,1,67.91666667,69.45792411,195,Shooter|Simulator|Tactical|Adventure
5638,Dead Rising 2: Off the Record,PS3,2011,Action,Capcom,0.11,0.08,0.1,0.03,0.33,29,1,Sony,3488,6.246106765,1,65.3,68.59031669,52,Hack and slash/Beat 'em up|Adventure
5639,Frogger's Adventures: The Rescue,PS2,2003,Platform,Konami Digital Entertainment,0.16,0.12,0,0.04,0.32,32,1,Sony,1819,4.934473933,1,77,59.5,4,Adventure
5640,Birthday Party Bash,Wii,2009,Misc,Take-Two Interactive,0.3,0,0,0.02,0.32,19,0,Nintendo,4489,5.513428746,1,0,0,0,
5641,NFL Fever 2004,XB,2003,Sports,Microsoft Game Studios,0.24,0.07,0,0.01,0.32,14,1,Microsoft,1819,3.828641396,1,80,80,1,Simulator|Sport
5642,Prey,X360,2006,Shooter,Take-Two Interactive,0.27,0.03,0,0.03,0.32,4,0,Microsoft,2257,4.820281566,1,76.75,76.51655928,200,Shooter|Puzzle
5643,Tekken 6,PSP,2009,Fighting,Namco Bandai Games,0.15,0.04,0.1,0.03,0.32,8,1,Sony,4489,5.82008293,1,0,0,0,Fighting
5644,From TV Animation One Piece: Grand Battle! 3,PS2,2003,Fighting,Namco Bandai Games,0,0,0.32,0,0.32,44,1,Sony,1819,4.110873864,1,0,0,0,
5645,Prince of Persia: The Sands of Time,GC,2003,Action,Ubisoft,0.25,0.06,0,0.01,0.32,35,1,Nintendo,1819,5.38907173,1,84.22222222,83.06481389,732,Platform|Puzzle|Adventure
5646,Army of Two: The 40th Day,PSP,2010,Shooter,Electronic Arts,0.12,0.13,0,0.08,0.32,25,1,Sony,3712,7.14440718,1,77.66666667,71.7324322,58,Shooter|Tactical
5647,NCAA Basketball 10,X360,2009,Sports,Electronic Arts,0.3,0,0,0.02,0.32,18,1,Microsoft,4489,6.962243464,1,77,78.5,6,Sport
5648,Ben 10 Ultimate Alien: Cosmic Destruction,DS,2010,Platform,D3Publisher,0.22,0.08,0,0.03,0.32,41,1,Nintendo,3712,4.59511985,1,0,0,0,Hack and slash/Beat 'em up|Adventure
5649,NBA 2K10,PSP,2009,Sports,Take-Two Interactive,0.3,0,0,0.03,0.32,8,0,Sony,4489,5.509388337,1,82.8,78.63491237,34,Simulator|Sport
5650,SimAnimals,Wii,2009,Simulation,Electronic Arts,0.15,0.14,0,0.03,0.32,10,0,Nintendo,4489,6.963189986,1,0,0,0,Simulator
5651,Harry Potter and the Half-Blood Prince,X360,2009,Action,Electronic Arts,0.17,0.12,0,0.03,0.32,38,0,Microsoft,4489,6.964135612,1,0,0,0,
5652,Littlest Pet Shop: City Friends,DS,2009,Simulation,Electronic Arts,0.29,0,0,0.02,0.32,31,1,Nintendo,4489,6.965080346,1,0,0,0,Simulator
5653,Rock Band Country Track Pack,PS2,2009,Misc,MTV Games,0.16,0.12,0,0.04,0.32,28,0,Sony,4489,3.258096538,1,0,85,1,Music
5654,SWAT: Global Strike Team,PS2,2003,Shooter,Vivendi Games,0.16,0.12,0,0.04,0.32,24,1,Sony,1819,3.465735903,1,64.5,64.5,2,Shooter|Tactical
5655,All-Star Baseball 2005,PS2,2004,Sports,Acclaim Entertainment,0.16,0.12,0,0.04,0.32,22,1,Sony,1689,5.049856007,1,0,0,0,
5656,Batman: Arkham Asylum,PC,2009,Action,Eidos Interactive,0,0.27,0,0.05,0.32,21,1,PC,4489,5.690359454,1,89.4,87.53982793,2474,"Hack and slash/Beat 'em up, Adventure"
5657,Cabela's Dangerous Hunts 2011,X360,2010,Sports,Activision,0.28,0.01,0,0.02,0.32,29,1,Microsoft,3712,6.816735881,1,0,75,2,Shooter|Simulator|Sport
5658,The Biggest Loser,DS,2009,Sports,THQ,0.18,0.11,0,0.03,0.32,17,0,Nintendo,4489,6.629363253,1,0,0,0,Simulator
5659,Singularity,X360,2010,Shooter,Activision,0.24,0.04,0,0.03,0.32,11,0,Microsoft,3712,6.81563999,1,0,0,0,Shooter
5660,One Piece: Romance Dawn,PSP,2012,Role-Playing,Namco Bandai Games,0,0,0.32,0,0.32,23,1,Sony,1737,6.320768294,1,38.4,38.4,5,Role-playing (RPG)
5661,Sega Smash Pack,GBA,2002,Misc,Atari,0.23,0.08,0,0.01,0.32,15,0,Nintendo,1831,3.871201011,1,0,0,0,Platform|Hack and slash/Beat 'em up|Pinball
5662,Dynasty Warriors 4 Empires,PS2,2004,Action,Tecmo Koei,0,0,0.32,0,0.32,26,0,Sony,1689,3.63758616,1,67,68.57580734,11,Tactical|Hack and slash/Beat 'em up
5663,Derby Stallion DS,DS,2008,Sports,Enterbrain,0,0,0.32,0,0.32,17,0,Nintendo,3121,3.044522438,1,0,0,0,Simulator|Sport
5664,UEFA Euro 2008 Austria-Switzerland,PS2,2008,Sports,Electronic Arts,0.03,0,0,0.28,0.32,34,0,Sony,3121,6.799055862,1,0,0,0,
5665,Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0,0.04,0.32,22,1,PC,1893,5.159055299,1,0,66.19868911,16,Fighting
5666,SpongeBob SquarePants: Double Pack,GBA,2005,Platform,THQ,0.23,0.08,0,0.01,0.32,34,1,Nintendo,1927,5.908082938,1,0,0,0,
5667,Sniper Elite 3,X360,2014,Shooter,505 Games,0.16,0.14,0,0.03,0.32,14,1,Microsoft,3043,5.659482216,1,67.91666667,69.45792411,195,Shooter|Simulator|Tactical|Adventure
5668,BlazBlue: Chrono Phantasma,PS3,2014,Fighting,Arc System Works,0.15,0,0.14,0.03,0.32,26,1,Sony,3043,4.248495242,1,85,87.29013998,22,Fighting|Arcade
5669,Monster Lab,Wii,2008,Role-Playing,Eidos Interactive,0.28,0.02,0,0.02,0.32,11,0,Nintendo,3121,5.545177444,1,77,77,3,Puzzle|Role-playing (RPG)|Simulator|Strategy
5670,"Monsters, Inc.",PS2,2002,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.32,14,0,Sony,1831,4.744932128,1,55,61.15228753,10,Platform
5671,J Stars Victory Vs.,PS3,2014,Fighting,Namco Bandai Games,0.04,0.06,0.2,0.02,0.32,19,0,Sony,3043,6.620073207,1,67,62.66547507,19,Fighting|Hack and slash/Beat 'em up
5672,Power Rangers: Time Force,PS,2001,Action,THQ,0.18,0.12,0,0.02,0.32,25,1,Sony,1537,4.060443011,1,0,61.48159012,14,Fighting|Adventure
5673,Resident Evil Archives: Resident Evil,Wii,2008,Action,Capcom,0.17,0.04,0.08,0.02,0.32,37,1,Nintendo,3121,5.81711116,1,60,66.75416257,11,Puzzle|Adventure
5674,Kinetica,PS2,2001,Racing,Sony Computer Entertainment,0.16,0.12,0,0.04,0.32,8,0,Sony,1537,4.317488114,1,0,0,0,Racing
5675,Murdered: Soul Suspect,PS4,2014,Action,Square Enix,0.09,0.16,0.02,0.05,0.32,22,1,Sony,3043,6.091309882,1,60.85714286,63.27443331,270,Puzzle|Role-playing (RPG)|Adventure
5676,Drakengard 3,PS3,2014,Misc,Square Enix,0.11,0,0.19,0.02,0.32,12,1,Sony,3043,6.09356977,1,56.25,65.4311989,54,Role-playing (RPG)|Strategy|Hack and slash/Beat 'em up|Adventure
5677,Momotarou Dentetsu 20-Shuunen,DS,2008,Misc,Hudson Soft,0,0,0.32,0,0.32,29,0,Nintendo,3121,4.852030264,1,0,0,0,
5678,Nicktoons: Movin,PS2,2004,Action,THQ,0.16,0.12,0,0.04,0.32,16,1,Sony,1689,5.690359454,1,0,0,0,Sport
5679,Nicktoons: Movin',PS2,2004,Action,THQ,0.16,0.12,0,0.04,0.32,17,1,Sony,1689,5.686975356,1,0,0,0,Sport
5680,"Ed, Edd n Eddy: Jawbreakers!",GBA,2002,Adventure,BAM! Entertainment,0.23,0.08,0,0.01,0.32,28,1,Nintendo,1831,2.890371758,1,0,0,0,Platform|Adventure
5681,Final Fantasy XI: Online,PS2,2004,MMO,Square Enix,0.08,0.06,0.15,0.02,0.32,24,1,Sony,1689,3.044522438,1,63.33333333,71.15855953,47,Role-playing (RPG)|Adventure
5682,Quiz Magic Academy DS,DS,2008,Misc,Konami Digital Entertainment,0,0,0.32,0,0.32,21,0,Nintendo,3121,5.986452005,1,0,0,0,
5683,Dragon Quest Monsters 1�,PS,2002,Role-Playing,Enix Corporation,0,0,0.3,0.02,0.32,25,0,Sony,1831,2.197224577,1,0,0,0,
5684,Dead or Alive 5,X360,2012,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.02,0.32,15,1,Microsoft,1737,2.397895273,1,71.8,78.48444378,60,Fighting
5685,Clive Barker's Jericho,X360,2007,Shooter,Codemasters,0.28,0.01,0,0.02,0.32,22,0,Microsoft,2687,4.574710979,1,66,70.85189166,102,Shooter
5686,Romance of the Three Kingdoms VII,PS2,2002,Strategy,KOEI,0.08,0.06,0.16,0.02,0.32,33,0,Sony,1831,3.135494216,1,0,0,0,Strategy|Turn-based strategy (TBS)|Tactical
5687,Little Deviants,PSV,2012,Platform,Sony Computer Entertainment,0.14,0.13,0,0.05,0.32,15,0,Sony,1737,7.036148494,1,70,65.04671096,8,Shooter|Arcade
5688,Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005,Misc,Majesco,0.23,0.08,0,0.01,0.32,67,1,Nintendo,1927,3.761200116,1,0,0,0,
5689,Shenmue II,XB,2002,Adventure,Microsoft Game Studios,0.22,0.08,0,0.01,0.32,10,0,Microsoft,1831,2.944438979,1,70,76.21883358,90,Role-playing (RPG)|Adventure
5690,One Piece: Romance Dawn - Bouken no Yoake,PSP,2012,Fighting,Namco Bandai Games,0,0,0.32,0,0.32,41,1,Sony,1737,6.318968114,1,0,0,0,
5691,Madden NFL 13,PSV,2012,Sports,Electronic Arts,0.3,0,0,0.03,0.32,13,1,Sony,1737,7.365180126,1,0,0,0,Sport
5692,Golden Axe: Beast Rider,PS3,2008,Action,Sega,0.13,0.14,0,0.06,0.32,23,1,Sony,3121,6.431331082,1,40,55,7,Hack and slash/Beat 'em up
5693,NBA 2K3,XB,2002,Sports,Sega,0.24,0.07,0,0.01,0.32,7,0,Microsoft,1831,4.844187086,1,0,70.26958504,7,Simulator|Sport
